"idx","sidoNm","name","naverUrl","address","beerType","desc","homepage","x","y"
1,서울,Goose Island Brewhouse Seoul,https://map.naver.com/v5/entry/place/505375149,서울 강남구 역삼로 118,브루펍,,https://gooseisland.kr,"127.03218003162604","37.49343153399763"
2,서울,가로수 브루잉 컴퍼니,https://map.naver.com/v5/entry/place/35279415,서울 강남구 도산대로11길 31-4,탭룸,,https://www.instagram.com/garosubrewingcompany/,"127.02197532654006","37.519528894338976"
3,서울,미켈러바코리아,https://map.naver.com/v5/entry/place/36877874,서울 강남구 신사동 544-22,탭룸,,https://mikkeller.com/locations/mikkeller-bar-seoul,"127.02394480222783","37.52083433304024"
4,서울,비어플라주,https://map.naver.com/v5/entry/place/38653756,서울 강남구 봉은사로 447 아르헤 타워,탭룸,"강아지 두마리와, 분위기 좋은 맥주집",http://www.instagram.com/beerflage/,"127.0486118516733","37.5119335642329"
5,서울,휘스펍,https://map.naver.com/v5/entry/place/36262729,서울 강동구 풍성로58길 12,탭룸,,https://www.instagram.com/hweespub/,"127.13549736625406","37.52839662121259"
6,서울,화수브루어리 서울강북점,https://map.naver.com/v5/entry/place/1748309953,서울 강북구 인수봉로 238,탭룸,,https://www.instagram.com/whasoobrewery_seoul,"127.0119708893687","37.64028148009374"
7,서울,당근슈퍼,https://map.naver.com/v5/entry/place/1061829309,서울 강서구 화곡로 176-22 NS파크APT,바틀샵,,https://www.instagram.com/carrot__mart,"126.84171480713115","37.54087799322936"
8,서울,바틀리스트,https://map.naver.com/v5/entry/place/1898657472,서울 강서구 강서로 433 116호,바틀샵,"와인과, 맥주를 판매하는 맥주",https://www.instagram.com/bottlelist_/,"126.83965759928583","37.56439848633173"
9,서울,비어업,https://map.naver.com/v5/entry/place/1205241876,서울 강서구 마곡중앙6로 45,탭룸,,http://instagram.com/beerupbottleshop,"126.83272063555454","37.560631217141506"
10,서울,LINGO,https://map.naver.com/v5/entry/place/36740119,서울 관악구 봉천로 518-4 유호빌딩,탭룸,"샤로수길의 유명한 탭룸, 수제치킨이 정말 맛있고, 매주 금요일 마다 스페셜 게스트라는 맥주가 온탭되는것이 특징",https://www.instagram.com/tap_house_lingo/,"126.95551317514901","37.47952092152897"
11,서울,아쉬트리,https://map.naver.com/v5/entry/place/1083144317,서울 광진구 아차산로49길 22,브루펍,영국식에일을 만드는 브루어,https://www.instagram.com/ashtreebrewery/,"127.08450694882619","37.537903033113714"
12,서울,알고,https://map.naver.com/v5/entry/place/810682299,서울 광진구 광나루로17길 10,탭룸,"소세지를 직접 만드는 탭룸, 맥주와 함께 직접 만든 소세지를 드셔보세요",http://instagram.com/algo_sausage_official,"127.07286418894414","37.54811806088947"
